id,create_time,update_time,total_amount,administrative_region_id,insurance_agent_id,policyholder_id,renew_from_id,vehicle_id,amount_type
37,2023-01-10 01:01:00,2023-01-10 01:01:00,2842.0,154,555,37,,37,数据正常
38,2023-01-10 01:02:00,2023-01-10 01:02:00,6647.0,64,40,38,,38,数据过高
39,2023-01-10 01:04:00,2023-01-10 01:04:00,7499.24,324,222,39,,39,数据过高
40,2023-01-10 01:05:00,2023-01-10 01:05:00,5318.0,128,54,40,,40,数据过高
41,2023-01-10 01:06:00,2023-01-10 01:06:00,5079.0,364,742,41,,41,数据过高
42,2023-01-10 01:08:00,2023-01-10 01:08:00,6635.24,323,136,42,,42,数据过高
43,2023-01-10 01:10:00,2023-01-10 01:10:00,8643.0,171,854,43,,43,数据过高
44,2023-01-10 01:11:00,2023-01-10 01:11:00,5510.48,142,890,44,,44,数据过高
45,2023-01-10 01:12:00,2023-01-10 01:12:00,5352.78,11,961,45,,45,数据过高
46,2023-01-10 01:13:00,2023-01-10 01:13:00,4973.88,322,431,46,,46,数据过高
47,2023-01-10 01:14:00,2023-01-10 01:14:00,6897.0,180,663,47,,47,数据过高
48,2023-01-10 01:16:00,2023-01-10 01:16:00,4513.0,380,288,48,,48,数据过高
49,2023-01-10 01:19:00,2023-01-10 01:19:00,3667.0,144,605,49,,49,数据过高
50,2023-01-10 01:20:00,2023-01-10 01:20:00,4196.14,18,20,50,,50,数据过高
51,2023-01-10 01:22:00,2023-01-10 01:22:00,4572.0,215,840,51,,51,数据过高
52,2023-01-10 01:23:00,2023-01-10 01:23:00,5377.0,103,844,52,,52,数据过高
53,2023-01-10 01:25:00,2023-01-10 01:25:00,4690.0,201,649,53,,53,数据过高
54,2023-01-10 01:26:00,2023-01-10 01:26:00,10097.0,45,288,54,,54,数据过高
55,2023-01-10 01:28:00,2023-01-10 01:28:00,6172.0,227,763,55,,55,数据过高
56,2023-01-10 01:29:00,2023-01-10 01:29:00,4325.68,304,106,56,,56,数据过高
57,2023-01-10 01:32:00,2023-01-10 01:32:00,3906.0,163,966,57,,57,数据过高
58,2023-01-10 01:36:00,2023-01-10 01:36:00,3721.2,248,418,58,,58,数据过高
59,2023-01-10 01:39:00,2023-01-10 01:39:00,4978.0,292,204,59,,59,数据过高
60,2023-01-10 01:40:00,2023-01-10 01:40:00,4196.2,41,431,60,,60,数据过高
61,2023-01-10 01:42:00,2023-01-10 01:42:00,5667.0,193,211,61,,61,数据过高
62,2023-01-10 01:43:00,2023-01-10 01:43:00,4196.2,95,631,62,,62,数据过高
63,2023-01-10 01:44:00,2023-01-10 01:44:00,3966.14,199,721,63,,63,数据过高
64,2023-01-10 01:45:00,2023-01-10 01:45:00,5398.0,65,381,64,,64,数据过高
65,2023-01-10 01:46:00,2023-01-10 01:46:00,5510.48,326,564,65,,65,数据过高
66,2023-01-10 01:48:00,2023-01-10 01:48:00,3980.48,2,666,66,,66,数据过高
67,2023-01-10 01:49:00,2023-01-10 01:49:00,8513.0,325,396,67,,67,数据过高
68,2023-01-10 01:50:00,2023-01-10 01:50:00,4056.6,88,297,68,,68,数据过高
69,2023-01-10 01:53:00,2023-01-10 01:53:00,3753.0,260,466,69,,69,数据过高
70,2023-01-10 01:54:00,2023-01-10 01:54:00,4092.52,367,279,70,,70,数据过高
71,2023-01-10 01:55:00,2023-01-10 01:55:00,3487.04,315,487,71,,71,数据过高
72,2023-01-10 01:57:00,2023-01-10 01:57:00,3970.0,107,32,72,,72,数据过高
73,2023-01-10 01:59:00,2023-01-10 01:59:00,4732.0,275,331,73,,73,数据过高
74,2023-01-10 02:00:00,2023-01-10 02:00:00,6367.0,59,110,74,,74,数据过高
75,2023-01-10 02:01:00,2023-01-10 02:01:00,4503.86,26,332,75,,75,数据过高
76,2023-01-10 02:02:00,2023-01-10 02:02:00,5060.2,180,519,76,,76,数据过高
77,2023-01-10 02:04:00,2023-01-10 02:04:00,4476.12,277,385,77,,77,数据过高
78,2023-01-10 02:05:00,2023-01-10 02:05:00,5510.48,306,460,78,,78,数据过高
79,2023-01-10 02:06:00,2023-01-10 02:06:00,3443.88,259,756,79,,79,数据过高
80,2023-01-10 02:07:00,2023-01-10 02:07:00,8643.0,332,308,80,,80,数据过高
81,2023-01-10 02:10:00,2023-01-10 02:10:00,7185.0,369,230,81,,81,数据过高
82,2023-01-10 02:12:00,2023-01-10 02:12:00,5103.36,312,428,82,,82,数据过高
83,2023-01-10 02:13:00,2023-01-10 02:13:00,3180.6,381,29,83,,83,数据正常
84,2023-01-10 02:14:00,2023-01-10 02:14:00,3031.0,374,249,84,,84,数据正常
85,2023-01-10 02:16:00,2023-01-10 02:16:00,3417.56,14,520,85,,85,数据过高
86,2023-01-10 02:17:00,2023-01-10 02:17:00,3360.47,324,65,86,,86,数据过高
87,2023-01-10 02:19:00,2023-01-10 02:19:00,4537.96,154,781,87,,87,数据过高
88,2023-01-10 02:21:00,2023-01-10 02:21:00,4732.0,146,700,88,,88,数据过高
89,2023-01-10 02:22:00,2023-01-10 02:22:00,4593.0,305,22,89,,89,数据过高
90,2023-01-10 02:23:00,2023-01-10 02:23:00,4942.0,8,810,90,,90,数据过高
91,2023-01-10 02:30:00,2023-01-10 02:30:00,3997.0,14,546,91,,91,数据过高
92,2023-01-10 02:31:00,2023-01-10 02:31:00,7649.0,192,712,92,,92,数据过高
93,2023-01-10 02:33:00,2023-01-10 02:33:00,6983.0,341,557,93,,93,数据过高
94,2023-01-10 02:34:00,2023-01-10 02:34:00,5017.04,286,412,94,,94,数据过高
95,2023-01-10 02:36:00,2023-01-10 02:36:00,4971.0,254,26,95,,95,数据过高
96,2023-01-10 02:37:00,2023-01-10 02:37:00,7085.8,351,164,96,,96,数据过高
97,2023-01-10 02:39:00,2023-01-10 02:39:00,3341.12,161,152,97,,97,数据过高
98,2023-01-10 02:41:00,2023-01-10 02:41:00,5201.0,163,308,98,,98,数据过高
99,2023-01-10 02:43:00,2023-01-10 02:43:00,6849.0,240,100,99,,99,数据过高
100,2023-01-10 02:44:00,2023-01-10 02:44:00,4947.56,251,83,100,,100,数据过高
101,2023-01-10 02:45:00,2023-01-10 02:45:00,5527.0,300,875,101,,101,数据过高
102,2023-01-10 02:48:00,2023-01-10 02:48:00,5351.6,274,240,102,,102,数据过高
103,2023-01-10 02:49:00,2023-01-10 02:49:00,4577.0,297,632,103,,103,数据过高
104,2023-01-10 02:50:00,2023-01-10 02:50:00,5377.0,300,842,104,,104,数据过高
105,2023-01-10 02:52:00,2023-01-10 02:52:00,5103.36,2,64,105,,105,数据过高
106,2023-01-10 02:53:00,2023-01-10 02:53:00,4196.2,110,444,106,,106,数据过高
107,2023-01-10 02:54:00,2023-01-10 02:54:00,4109.88,320,470,107,,107,数据过高
108,2023-01-10 02:56:00,2023-01-10 02:56:00,5783.0,350,74,108,,108,数据过高
109,2023-01-10 02:57:00,2023-01-10 02:57:00,3159.0,335,945,109,,109,数据正常
110,2023-01-10 02:58:00,2023-01-10 02:58:00,9507.0,90,475,110,,110,数据过高
111,2023-01-10 02:59:00,2023-01-10 02:59:00,4387.2,299,886,111,,111,数据过高
112,2023-01-10 03:00:00,2023-01-10 03:00:00,4196.14,266,735,112,,112,数据过高
113,2023-01-10 03:02:00,2023-01-10 03:02:00,6983.0,114,671,113,,113,数据过高
114,2023-01-10 03:03:00,2023-01-10 03:03:00,3910.68,189,36,114,,114,数据过高
115,2023-01-10 03:04:00,2023-01-10 03:04:00,5150.8,312,546,115,,115,数据过高
116,2023-01-10 03:06:00,2023-01-10 03:06:00,4973.88,99,986,116,,116,数据过高
117,2023-01-10 03:09:00,2023-01-10 03:09:00,10047.0,215,104,117,,117,数据过高
118,2023-01-10 03:10:00,2023-01-10 03:10:00,4803.0,347,123,118,,118,数据过高
119,2023-01-10 03:11:00,2023-01-10 03:11:00,9297.0,245,587,119,,119,数据过高
120,2023-01-10 03:17:00,2023-01-10 03:17:00,4153.04,231,389,120,,120,数据过高
121,2023-01-10 03:19:00,2023-01-10 03:19:00,5060.2,26,903,121,,121,数据过高
122,2023-01-10 03:20:00,2023-01-10 03:20:00,3563.0,55,303,122,,122,数据过高
123,2023-01-10 03:21:00,2023-01-10 03:21:00,7217.4,25,360,123,,123,数据过高
124,2023-01-10 03:22:00,2023-01-10 03:22:00,4382.0,287,130,124,,124,数据过高
125,2023-01-10 03:24:00,2023-01-10 03:24:00,6467.4,30,974,125,,125,数据过高
126,2023-01-10 03:25:00,2023-01-10 03:25:00,7649.0,8,854,126,,126,数据过高
127,2023-01-10 03:30:00,2023-01-10 03:30:00,7949.8,300,530,127,,127,数据过高
128,2023-01-10 03:31:00,2023-01-10 03:31:00,3479.0,113,539,128,,128,数据过高
129,2023-01-10 03:33:00,2023-01-10 03:33:00,5153.0,91,928,129,,129,数据过高
130,2023-01-10 03:35:00,2023-01-10 03:35:00,3715.2,89,344,130,,130,数据过高
131,2023-01-10 03:37:00,2023-01-10 03:37:00,5351.6,160,206,131,,131,数据过高
132,2023-01-10 03:38:00,2023-01-10 03:38:00,4710.6,122,21,132,,132,数据过高
133,2023-01-10 03:40:00,2023-01-10 03:40:00,3549.0,85,477,133,,133,数据过高
134,2023-01-10 03:41:00,2023-01-10 03:41:00,4337.0,315,373,134,,134,数据过高
135,2023-01-10 03:43:00,2023-01-10 03:43:00,4337.0,56,70,135,,135,数据过高
136,2023-01-10 03:45:00,2023-01-10 03:45:00,4083.56,187,849,136,,136,数据过高
137,2023-01-10 03:46:00,2023-01-10 03:46:00,8081.4,303,458,137,,137,数据过高
138,2023-01-10 03:47:00,2023-01-10 03:47:00,7574.52,281,315,138,,138,数据过高
139,2023-01-10 03:48:00,2023-01-10 03:48:00,4236.6,187,837,139,,139,数据过高
140,2023-01-10 03:49:00,2023-01-10 03:49:00,3573.36,193,505,140,,140,数据过高
141,2023-01-10 03:50:00,2023-01-10 03:50:00,4791.4,78,941,141,,141,数据过高
142,2023-01-10 03:52:00,2023-01-10 03:52:00,3847.0,331,277,142,,142,数据过高
143,2023-01-10 03:53:00,2023-01-10 03:53:00,8081.4,370,748,143,,143,数据过高
144,2023-01-10 03:54:00,2023-01-10 03:54:00,5667.0,150,374,144,,144,数据过高
145,2023-01-10 03:55:00,2023-01-10 03:55:00,4196.2,115,703,145,,145,数据过高
146,2023-01-10 03:58:00,2023-01-10 03:58:00,8967.0,146,32,146,,146,数据过高
147,2023-01-10 04:00:00,2023-01-10 04:00:00,10097.0,51,745,147,,147,数据过高
148,2023-01-10 04:01:00,2023-01-10 04:01:00,3847.0,313,958,148,,148,数据过高
149,2023-01-10 04:02:00,2023-01-10 04:02:00,3660.6,59,530,149,,149,数据过高
150,2023-01-10 04:03:00,2023-01-10 04:03:00,3438.4,87,45,150,,150,数据过高
151,2023-01-10 04:04:00,2023-01-10 04:04:00,4843.6,349,49,151,,151,数据过高
152,2023-01-10 04:05:00,2023-01-10 04:05:00,7085.8,69,633,152,,152,数据过高
153,2023-01-10 04:07:00,2023-01-10 04:07:00,3671.0,64,656,153,,153,数据过高
154,2023-01-10 04:11:00,2023-01-10 04:11:00,3455.09,222,892,154,,154,数据过高
155,2023-01-10 04:12:00,2023-01-10 04:12:00,4007.12,39,700,155,,155,数据过高
156,2023-01-10 04:15:00,2023-01-10 04:15:00,4008.5,130,695,156,,156,数据过高
157,2023-01-10 04:18:00,2023-01-10 04:18:00,3150.47,273,954,157,,157,数据正常
158,2023-01-10 04:19:00,2023-01-10 04:19:00,4024.0,375,515,158,,158,数据过高
159,2023-01-10 04:20:00,2023-01-10 04:20:00,5842.0,274,446,159,,159,数据过高
160,2023-01-10 04:21:00,2023-01-10 04:21:00,5510.48,342,21,160,,160,数据过高
161,2023-01-10 04:23:00,2023-01-10 04:23:00,4325.68,360,494,161,,161,数据过高
162,2023-01-10 04:24:00,2023-01-10 04:24:00,4947.56,229,988,162,,162,数据过高
163,2023-01-10 04:26:00,2023-01-10 04:26:00,7851.0,304,272,163,,163,数据过高
164,2023-01-10 04:27:00,2023-01-10 04:27:00,4121.09,219,785,164,,164,数据过高
165,2023-01-10 04:28:00,2023-01-10 04:28:00,3867.0,123,56,165,,165,数据过高
166,2023-01-10 04:30:00,2023-01-10 04:30:00,3573.36,138,794,166,,166,数据过高
167,2023-01-10 04:32:00,2023-01-10 04:32:00,4109.88,237,363,167,,167,数据过高
168,2023-01-10 04:34:00,2023-01-10 04:34:00,5201.0,263,49,168,,168,数据过高
169,2023-01-10 04:36:00,2023-01-10 04:36:00,3847.0,37,888,169,,169,数据过高
170,2023-01-10 04:39:00,2023-01-10 04:39:00,4487.6,179,547,170,,170,数据过高
171,2023-01-10 04:40:00,2023-01-10 04:40:00,4910.03,98,504,171,,171,数据过高
172,2023-01-10 04:41:00,2023-01-10 04:41:00,3837.0,387,188,172,,172,数据过高
173,2023-01-10 04:42:00,2023-01-10 04:42:00,3443.88,131,71,173,,173,数据过高
174,2023-01-10 04:43:00,2023-01-10 04:43:00,3332.0,373,418,174,,174,数据过高
175,2023-01-10 04:44:00,2023-01-10 04:44:00,9097.0,73,950,175,,175,数据过高
176,2023-01-10 04:45:00,2023-01-10 04:45:00,7185.0,219,983,176,,176,数据过高
177,2023-01-10 04:46:00,2023-01-10 04:46:00,4843.6,235,800,177,,177,数据过高
178,2023-01-10 04:48:00,2023-01-10 04:48:00,4515.03,87,133,178,,178,数据过高
179,2023-01-10 04:51:00,2023-01-10 04:51:00,3455.09,260,741,179,,179,数据过高
180,2023-01-10 04:55:00,2023-01-10 04:55:00,5201.0,370,503,180,,180,数据过高
181,2023-01-10 04:57:00,2023-01-10 04:57:00,4377.0,351,623,181,,181,数据过高
182,2023-01-10 04:59:00,2023-01-10 04:59:00,4153.04,366,381,182,,182,数据过高
183,2023-01-10 05:00:00,2023-01-10 05:00:00,8353.0,340,61,183,,183,数据过高
184,2023-01-10 05:02:00,2023-01-10 05:02:00,3483.04,233,994,184,,184,数据过高
185,2023-01-10 05:03:00,2023-01-10 05:03:00,4008.5,325,505,185,,185,数据过高
186,2023-01-10 05:04:00,2023-01-10 05:04:00,4304.34,354,264,186,,186,数据过高
187,2023-01-10 05:06:00,2023-01-10 05:06:00,3906.0,60,305,187,,187,数据过高
188,2023-01-10 05:07:00,2023-01-10 05:07:00,4877.78,130,248,188,,188,数据过高
189,2023-01-10 05:08:00,2023-01-10 05:08:00,4910.03,342,503,189,,189,数据过高
190,2023-01-10 05:12:00,2023-01-10 05:12:00,3376.6,326,561,190,,190,数据过高
191,2023-01-10 05:14:00,2023-01-10 05:14:00,4029.36,46,761,191,,191,数据过高
192,2023-01-10 05:15:00,2023-01-10 05:15:00,3659.68,349,719,192,,192,数据过高
193,2023-01-10 05:16:00,2023-01-10 05:16:00,5259.0,54,108,193,,193,数据过高
194,2023-01-10 05:17:00,2023-01-10 05:17:00,3821.6,244,573,194,,194,数据过高
195,2023-01-10 05:19:00,2023-01-10 05:19:00,3883.8,78,122,195,,195,数据过高
196,2023-01-10 05:23:00,2023-01-10 05:23:00,6710.52,80,307,196,,196,数据过高
197,2023-01-10 05:24:00,2023-01-10 05:24:00,9233.0,328,558,197,,197,数据过高
198,2023-01-10 05:25:00,2023-01-10 05:25:00,4109.88,266,189,198,,198,数据过高
199,2023-01-10 05:27:00,2023-01-10 05:27:00,4801.0,312,769,199,,199,数据过高
200,2023-01-10 05:28:00,2023-01-10 05:28:00,4305.0,103,350,200,,200,数据过高
201,2023-01-10 05:29:00,2023-01-10 05:29:00,5337.0,193,937,201,,201,数据过高
202,2023-01-10 05:31:00,2023-01-10 05:31:00,5100.6,128,899,202,,202,数据过高
203,2023-01-10 05:32:00,2023-01-10 05:32:00,4698.36,159,302,203,,203,数据过高
204,2023-01-10 05:35:00,2023-01-10 05:35:00,3511.2,50,335,204,,204,数据过高
205,2023-01-10 05:36:00,2023-01-10 05:36:00,5707.6,15,755,205,,205,数据过高
206,2023-01-10 05:37:00,2023-01-10 05:37:00,5017.04,20,778,206,,206,数据过高
207,2023-01-10 05:38:00,2023-01-10 05:38:00,3659.68,281,575,207,,207,数据过高
208,2023-01-10 05:39:00,2023-01-10 05:39:00,7257.0,350,218,208,,208,数据过高
209,2023-01-10 05:40:00,2023-01-10 05:40:00,4698.36,360,3,209,,209,数据过高
210,2023-01-10 05:41:00,2023-01-10 05:41:00,4286.8,274,49,210,,210,数据过高
211,2023-01-10 05:43:00,2023-01-10 05:43:00,3537.0,44,493,211,,211,数据过高
212,2023-01-10 05:45:00,2023-01-10 05:45:00,4067.0,55,135,212,,212,数据过高
213,2023-01-10 05:47:00,2023-01-10 05:47:00,4779.34,135,534,213,,213,数据过高
214,2023-01-10 05:51:00,2023-01-10 05:51:00,7687.0,338,722,214,,214,数据过高
215,2023-01-10 05:52:00,2023-01-10 05:52:00,4196.2,292,295,215,,215,数据过高
216,2023-01-10 05:53:00,2023-01-10 05:53:00,3966.14,235,810,216,,216,数据过高
217,2023-01-10 05:55:00,2023-01-10 05:55:00,9097.0,374,421,217,,217,数据过高
218,2023-01-10 05:56:00,2023-01-10 05:56:00,8715.0,284,4,218,,218,数据过高
219,2023-01-10 05:57:00,2023-01-10 05:57:00,6419.8,37,425,219,,219,数据过高
220,2023-01-10 05:58:00,2023-01-10 05:58:00,5201.0,309,186,220,,220,数据过高
221,2023-01-10 05:59:00,2023-01-10 05:59:00,5554.0,250,669,221,,221,数据过高
222,2023-01-10 06:00:00,2023-01-10 06:00:00,3620.8,175,965,222,,222,数据过高
223,2023-01-10 06:02:00,2023-01-10 06:02:00,7367.0,38,396,223,,223,数据过高
224,2023-01-10 06:04:00,2023-01-10 06:04:00,4454.0,101,195,224,,224,数据过高
225,2023-01-10 06:05:00,2023-01-10 06:05:00,4109.88,39,807,225,,225,数据过高
226,2023-01-10 06:06:00,2023-01-10 06:06:00,5017.04,307,299,226,,226,数据过高
227,2023-01-10 06:09:00,2023-01-10 06:09:00,3085.6,40,899,227,,227,数据正常
228,2023-01-10 06:10:00,2023-01-10 06:10:00,5436.0,155,149,228,,228,数据过高
229,2023-01-10 06:11:00,2023-01-10 06:11:00,3671.0,307,778,229,,229,数据过高
230,2023-01-10 06:12:00,2023-01-10 06:12:00,4528.0,48,480,230,,230,数据过高
231,2023-01-10 06:13:00,2023-01-10 06:13:00,5132.0,90,173,231,,231,数据过高
232,2023-01-10 06:14:00,2023-01-10 06:14:00,3654.0,78,338,232,,232,数据过高
233,2023-01-10 06:15:00,2023-01-10 06:15:00,9507.0,378,872,233,,233,数据过高
234,2023-01-10 06:16:00,2023-01-10 06:16:00,3570.6,316,896,234,,234,数据过高
235,2023-01-10 06:18:00,2023-01-10 06:18:00,3816.47,374,769,235,,235,数据过高
236,2023-01-10 06:25:00,2023-01-10 06:25:00,7949.8,211,402,236,,236,数据过高
237,2023-01-10 06:28:00,2023-01-10 06:28:00,4196.14,177,898,237,,237,数据过高
238,2023-01-10 06:29:00,2023-01-10 06:29:00,2405.91,155,977,238,,238,数据过低
239,2023-01-10 06:31:00,2023-01-10 06:31:00,5954.0,166,938,239,,239,数据过高
240,2023-01-10 06:33:00,2023-01-10 06:33:00,8643.0,85,863,240,,240,数据过高
241,2023-01-10 06:34:00,2023-01-10 06:34:00,3443.88,128,778,241,,241,数据过高
242,2023-01-10 06:36:00,2023-01-10 06:36:00,5100.6,16,506,242,,242,数据过高
243,2023-01-10 06:39:00,2023-01-10 06:39:00,3828.5,194,548,243,,243,数据过高
244,2023-01-10 06:40:00,2023-01-10 06:40:00,10497.0,49,601,244,,244,数据过高
245,2023-01-10 06:41:00,2023-01-10 06:41:00,7185.0,156,239,245,,245,数据过高
246,2023-01-10 06:42:00,2023-01-10 06:42:00,5807.0,78,750,246,,246,数据过高
247,2023-01-10 06:43:00,2023-01-10 06:43:00,5954.0,218,337,247,,247,数据过高
248,2023-01-10 06:44:00,2023-01-10 06:44:00,4890.47,78,17,248,,248,数据过高
249,2023-01-10 06:46:00,2023-01-10 06:46:00,3659.68,178,642,249,,249,数据过高
250,2023-01-10 06:47:00,2023-01-10 06:47:00,4067.0,190,921,250,,250,数据过高
251,2023-01-10 06:48:00,2023-01-10 06:48:00,4277.0,250,737,251,,251,数据过高
252,2023-01-10 06:49:00,2023-01-10 06:49:00,4872.5,72,407,252,,252,数据过高
253,2023-01-10 06:50:00,2023-01-10 06:50:00,8643.0,183,869,253,,253,数据过高
254,2023-01-10 06:52:00,2023-01-10 06:52:00,5043.0,164,418,254,,254,数据过高
255,2023-01-10 06:53:00,2023-01-10 06:53:00,6183.0,21,701,255,,255,数据过高
256,2023-01-10 06:56:00,2023-01-10 06:56:00,4067.0,129,857,256,,256,数据过高
257,2023-01-10 07:01:00,2023-01-10 07:01:00,3573.36,278,267,257,,257,数据过高
258,2023-01-10 07:03:00,2023-01-10 07:03:00,4615.0,218,194,258,,258,数据过高
259,2023-01-10 07:04:00,2023-01-10 07:04:00,4387.2,41,514,259,,259,数据过高
260,2023-01-10 07:06:00,2023-01-10 07:06:00,7851.0,379,10,260,,260,数据过高
261,2023-01-10 07:07:00,2023-01-10 07:07:00,4860.2,129,461,261,,261,数据过高
262,2023-01-10 07:08:00,2023-01-10 07:08:00,7977.0,277,228,262,,262,数据过高
263,2023-01-10 07:09:00,2023-01-10 07:09:00,4791.4,92,996,263,,263,数据过高
264,2023-01-10 07:10:00,2023-01-10 07:10:00,4185.88,9,971,264,,264,数据过高
265,2023-01-10 07:11:00,2023-01-10 07:11:00,4454.0,139,973,265,,265,数据过高
266,2023-01-10 07:12:00,2023-01-10 07:12:00,4943.0,255,223,266,,266,数据过高
267,2023-01-10 07:14:00,2023-01-10 07:14:00,4572.0,241,792,267,,267,数据过高
268,2023-01-10 07:15:00,2023-01-10 07:15:00,4008.5,247,181,268,,268,数据过高
269,2023-01-10 07:19:00,2023-01-10 07:19:00,4973.88,387,322,269,,269,数据过高
270,2023-01-10 07:20:00,2023-01-10 07:20:00,4513.13,154,391,270,,270,数据过高
271,2023-01-10 07:22:00,2023-01-10 07:22:00,3483.04,224,294,271,,271,数据过高
272,2023-01-10 07:23:00,2023-01-10 07:23:00,4646.48,273,882,272,,272,数据过高
273,2023-01-10 07:25:00,2023-01-10 07:25:00,3618.5,349,901,273,,273,数据过高
274,2023-01-10 07:26:00,2023-01-10 07:26:00,3570.6,319,821,274,,274,数据过高
275,2023-01-10 07:29:00,2023-01-10 07:29:00,5090.0,209,378,275,,275,数据过高
276,2023-01-10 07:30:00,2023-01-10 07:30:00,5251.2,206,946,276,,276,数据过高
277,2023-01-10 07:31:00,2023-01-10 07:31:00,3620.8,91,319,277,,277,数据过高
278,2023-01-10 07:33:00,2023-01-10 07:33:00,4732.0,50,923,278,,278,数据过高
279,2023-01-10 07:34:00,2023-01-10 07:34:00,6419.8,366,954,279,,279,数据过高
280,2023-01-10 07:35:00,2023-01-10 07:35:00,3367.0,134,201,280,,280,数据过高
281,2023-01-10 07:40:00,2023-01-10 07:40:00,3682.41,142,787,281,,281,数据过高
282,2023-01-10 07:41:00,2023-01-10 07:41:00,8513.0,313,597,282,,282,数据过高
283,2023-01-10 07:43:00,2023-01-10 07:43:00,3847.0,27,641,283,,283,数据过高
284,2023-01-10 07:44:00,2023-01-10 07:44:00,8167.0,299,289,284,,284,数据过高
285,2023-01-10 07:46:00,2023-01-10 07:46:00,3530.2,146,205,285,,285,数据过高
286,2023-01-10 07:47:00,2023-01-10 07:47:00,4387.2,111,914,286,,286,数据过高
287,2023-01-10 07:53:00,2023-01-10 07:53:00,5842.0,216,610,287,,287,数据过高
288,2023-01-10 07:56:00,2023-01-10 07:56:00,3671.0,173,390,288,,288,数据过高
289,2023-01-10 07:57:00,2023-01-10 07:57:00,4215.0,214,820,289,,289,数据过高
290,2023-01-10 07:58:00,2023-01-10 07:58:00,3620.8,134,520,290,,290,数据过高
291,2023-01-10 08:00:00,2023-01-10 08:00:00,5707.6,256,576,291,,291,数据过高
292,2023-01-10 08:02:00,2023-01-10 08:02:00,4910.03,101,249,292,,292,数据过高
293,2023-01-10 08:04:00,2023-01-10 08:04:00,4359.0,324,632,293,,293,数据过高
294,2023-01-10 08:05:00,2023-01-10 08:05:00,4403.88,104,189,294,,294,数据过高
295,2023-01-10 08:07:00,2023-01-10 08:07:00,3729.0,222,632,295,,295,数据过高
